Coordinates,Label
"4.283897399902344,8.089286804199219",Unlabelled
"6.2683000564575195,6.890665054321289",Unlabelled
"8.938281059265137,11.454522132873535",Unlabelled
"0.8406686782836914,7.622014999389648",Unlabelled
"3.969571352005005,4.836708068847656",Unlabelled
"6.7378058433532715,6.824239730834961",Unlabelled
"8.154109001159668,7.798302173614502",Unlabelled
"6.082001686096191,7.231858730316162",Unlabelled
"4.95247220993042,7.479307651519775",Unlabelled
"8.94710922241211,12.249095916748047",Unlabelled
"1.5739223957061768,6.958845615386963",Unlabelled
"6.3217058181762695,5.6317548751831055",Unlabelled
"7.2251715660095215,12.084318161010742",Unlabelled
"1.5335090160369873,11.1704740524292",Unlabelled
"-1.9748153686523438,8.345295906066895",Unlabelled
"8.893113136291504,12.29834270477295",Unlabelled
"4.092778205871582,6.815276145935059",Unlabelled
"6.164267539978027,4.611550331115723",Unlabelled
"6.347794532775879,12.16698169708252",Unlabelled
"-2.173642158508301,11.82392406463623",Unlabelled
"6.459266662597656,7.753363609313965",Unlabelled
"5.94313383102417,7.280834197998047",Unlabelled
"3.6154251098632812,13.845955848693848",Unlabelled
"6.952878952026367,7.957193374633789",Unlabelled
"5.565344333648682,6.4433393478393555",Unlabelled
"6.41428804397583,7.297085285186768",Unlabelled
"8.311335563659668,12.313840866088867",Unlabelled
"8.679997444152832,11.972940444946289",Unlabelled
"4.1471266746521,6.83958101272583",Unlabelled
"8.17235279083252,10.108108520507812",Unlabelled
"0.24600741267204285,5.161742687225342",Unlabelled
"8.985140800476074,12.27857494354248",Unlabelled
"5.976425647735596,5.402248859405518",Unlabelled
"-0.5975437164306641,6.070471286773682",Unlabelled
"8.269367218017578,5.766163349151611",Unlabelled
"8.327176094055176,12.894902229309082",Unlabelled
"0.749098539352417,4.876099109649658",Unlabelled
"6.5354108810424805,6.25978946685791",Unlabelled
"4.709986686706543,8.294986724853516",Unlabelled
"3.3805110454559326,13.826982498168945",Unlabelled
"6.441867351531982,7.437009334564209",Unlabelled
"4.072721481323242,9.365159034729004",Unlabelled
"5.748807430267334,9.189447402954102",Unlabelled
"1.1103836297988892,5.933665752410889",Unlabelled
"8.856825828552246,11.775527954101562",Unlabelled
"7.157158851623535,13.085979461669922",Unlabelled
"6.446773052215576,6.736267566680908",Unlabelled
"6.470121383666992,7.5619049072265625",Unlabelled
"1.980462908744812,11.715730667114258",Unlabelled
"3.8560986518859863,13.875054359436035",Unlabelled
"6.757410526275635,6.986090660095215",Unlabelled
"6.3578572273254395,4.930261611938477",Unlabelled
"4.8358635902404785,7.645907878875732",Unlabelled
"1.255751132965088,6.731930732727051",Unlabelled
"6.950418472290039,6.604491710662842",Unlabelled
"6.0066046714782715,8.059551239013672",Unlabelled
"4.713385105133057,7.880828857421875",Unlabelled
"8.349311828613281,8.078667640686035",Unlabelled
"6.195646286010742,5.399135112762451",Unlabelled
"4.9920501708984375,7.6613006591796875",Unlabelled
"5.011899948120117,7.839208602905273",Unlabelled
"-0.690858006477356,5.029580116271973",Unlabelled
"-1.046647548675537,5.393336772918701",Unlabelled
